"","hhpiso","hhrooms","hhwater","hhwaterin","hhbano","hhownhouse","hhsize","hhelect","clus","headmale","headage","heademp","wifeage","wifeeduc","headeduc","child_0to5","boy_0to5","index","conspcfood_t0","conspcfood_t1","conspcfood_t2","conspcnonfood_t0","conspcnonfood_t1","conspcnonfood_t2","conspc_t0","conspc_t1","conspc_t2"
"43",0,1,0,0,1,1,6,1,2,1,28,1,22,2,8,3,2,0.334000051021576,286.046661376953,263.220001220703,459.671997070312,78.5466690063477,60.473331451416,173.589324951172,364.593322753906,323.693328857422,633.261352539062
"44",0,1,0,0,1,1,4,1,2,1,24,1,23,2,15,2,2,-0.497000008821487,497.549987792969,404.459991455078,460.528015136719,71.3333282470703,522.75,323.055999755859,568.88330078125,927.2099609375,783.583984375
"45",0,2,0,0,1,1,5,1,2,1,70,1,61,2,NA,1,0,0.074999988079071,333.839996337891,257.656005859375,398.040008544922,120.351997375488,292.82666015625,153.480010986328,454.191986083984,550.482666015625,551.52001953125
"46",1,1,1,1,1,1,8,1,2,1,28,1,29,NA,6,3,2,0.703000009059906,253.589996337891,180.830001831055,256.265014648438,37.716667175293,87.9333343505859,54.2750015258789,291.306671142578,268.763336181641,310.540008544922
"47",0,1,1,0,1,1,5,1,2,1,24,1,22,2,3,3,2,0.464000046253204,304.735992431641,356.096008300781,392.903991699219,98.4586639404297,100.413330078125,120.181335449219,403.194641113281,456.509338378906,513.085327148438
"48",1,1,1,NA,1,NA,9,1,2,1,45,1,38,2,4,1,0,0.504200041294098,246.337783813477,187.891998291016,365.583343505859,35.8488922119141,130.279998779297,112.427780151367,282.186676025391,318.171997070312,478.011108398438
"49",1,0,1,1,1,1,5,1,2,1,26,1,25,NA,1,2,1,-0.128000020980835,267.071990966797,491.343994140625,403.033325195312,50.9599990844727,137.125335693359,128.513336181641,318.031982421875,628.469360351562,531.546630859375
"50",1,1,1,0,0,1,5,0,2,1,30,1,31,2,9,1,0,0.0180000048130751,315.007995605469,372.359985351562,410.023986816406,95.5733337402344,109.834671020508,61.1119995117188,410.581329345703,482.194641113281,471.135986328125
"51",0,0,1,1,1,1,5,1,2,1,31,1,31,2,9,0,0,0.517999947071075,332.984008789062,202.871994018555,242.248001098633,62.8079986572266,39.5226669311523,116.922668457031,395.7919921875,242.394653320312,359.170654296875
"52",1,0,0,0,0,1,7,1,2,1,47,1,27,2,NA,3,2,1.15966665744781,464.074279785156,338.509094238281,531.789978027344,137.299057006836,98.7212142944336,131.021667480469,601.373352050781,437.230316162109,662.811645507812
"53",1,0,1,1,1,1,4,1,2,1,32,1,27,2,14,1,0,-0.653999984264374,392.690002441406,413.019989013672,465.450012207031,118.540000915527,252.760009765625,213.070007324219,511.230010986328,665.780029296875,678.52001953125
"54",1,0,1,1,1,1,4,1,2,1,39,1,36,2,15,0,0,-0.235333323478699,359.519989013672,948.02001953125,324.209991455078,72.8199996948242,430.866668701172,460.043334960938,432.339996337891,1378.88671875,784.253295898438
"55",1,0,0,0,1,1,8,1,2,1,47,1,42,4,NA,2,2,0.767000019550323,163.175003051758,87.9777755737305,164.779998779297,34.4599990844727,43.5955581665039,170.175994873047,197.635009765625,131.573333740234,334.955993652344
"56",0,0,0,0,1,1,5,1,2,1,29,1,30,2,6,1,1,0.795000016689301,241.391998291016,323.567993164062,384.343994140625,22.8239994049072,180.026672363281,636.581359863281,264.216003417969,503.594665527344,1020.92535400391
"57",1,2,1,0,1,1,6,1,2,1,36,1,46,2,15,2,1,-0.592199981212616,279.626678466797,288.471984863281,285.903991699219,16.060001373291,116.834671020508,116.37866973877,295.686676025391,405.306640625,402.282653808594
"58",0,1,1,0,1,1,4,1,2,1,36,1,42,2,3,1,1,0.249499976634979,396.970001220703,680.52001953125,469.730010986328,133.853332519531,434.246673583984,239.82666015625,530.823364257812,1114.76672363281,709.556640625
"59",0,1,0,0,0,1,7,1,2,1,27,1,28,2,9,0,0,0.394666612148285,261.691436767578,155.914291381836,352.386657714844,107.643814086914,130.331436157227,59,369.335266113281,286.245727539062,411.386657714844
"60",0,0,0,0,1,1,4,1,2,1,36,1,28,NA,NA,0,0,1.20299994945526,3422.92993164062,377.709991455078,337.049987792969,1211.61657714844,225.58332824707,55.7000007629395,4634.54638671875,603.293334960938,392.75
"61",1,1,1,1,1,1,5,1,2,1,38,1,38,3,7,0,0,-0.368999987840652,362.730010986328,548.909973144531,212.287994384766,287.6533203125,256.669982910156,198.480010986328,650.38330078125,805.579956054688,410.768005371094
"62",1,2,1,NA,1,1,4,1,2,1,40,1,30,2,9,0,0,-1.36666667461395,872.049987792969,459.862213134766,734.447998046875,344.819976806641,215.075561523438,240.834671020508,1216.86999511719,674.937744140625,975.282653808594
"63",1,1,0,0,1,0,4,0,2,1,29,1,26,3,6,0,0,-0.416999995708466,385.200012207031,681.590026855469,401.463989257812,114.770004272461,157.706665039062,164.901336669922,499.970031738281,839.296691894531,566.365356445312
"64",0,3,1,0,1,1,9,1,5,1,77,0,64,NA,NA,1,1,0.801799952983856,202.229995727539,123.584999084473,134.106674194336,31.6049995422363,75.3833312988281,31.1555557250977,233.834991455078,198.968322753906,165.262237548828
"65",1,1,1,1,1,1,4,1,5,1,40,0,29,3,9,1,1,-0.34400001168251,471.869995117188,185.110000610352,49.6479988098145,105.696662902832,70.8499984741211,1.71200001239777,577.566650390625,255.959991455078,51.3600006103516
"66",1,1,1,0,1,1,7,1,5,1,30,1,35,3,9,2,1,1.10199999809265,64.8114318847656,66.0342864990234,184.039993286133,12.7466669082642,33.3733329772949,6.11428594589233,77.5580978393555,99.4076232910156,190.154281616211
"67",1,1,1,NA,1,1,5,1,5,1,27,1,20,4,15,2,1,0.186083316802979,469.088012695312,462.953338623047,206.296005249023,98.8719940185547,106.99333190918,100.234664916992,567.960021972656,569.946655273438,306.530670166016
"68",0,2,1,0,1,1,9,1,5,1,46,0,43,3,9,2,0,0.884785711765289,212.573333740234,88.9288864135742,20.1159992218018,89.2814788818359,100.475555419922,0.856000006198883,301.854797363281,189.404449462891,20.9720001220703
"69",1,1,1,0,1,1,4,1,5,2,33,1,NA,2,9,1,0,0.188000023365021,218.279998779297,246.100006103516,171.199996948242,91.1500015258789,109.873336791992,41.1833343505859,309.429992675781,355.973327636719,212.383331298828
"70",1,1,1,1,1,0,5,1,5,2,35,1,17,2,3,1,0,0.818999946117401,321,303.880004882812,120.695999145508,123.560005187988,226.240005493164,4.28000020980835,444.559997558594,530.119995117188,124.975997924805
"71",1,3,1,1,1,1,4,1,5,2,35,1,18,4,4,0,0,-0.954333364963531,585.289978027344,1000.45001220703,26.5359992980957,252.410003662109,80.7099990844727,2.56800007820129,837.699951171875,1081.16003417969,29.1040000915527
"72",1,2,1,0,1,1,7,1,5,1,38,1,37,3,15,2,1,0.823599994182587,127.78857421875,559.609985351562,149.800003051758,28.0285720825195,387.646667480469,33.5699996948242,155.817138671875,947.256652832031,183.369995117188
"73",0,1,1,0,1,1,4,1,5,1,43,0,36,2,NA,0,0,0.369999945163727,310.299987792969,303.880004882812,280.339996337891,56.3066635131836,51.9599990844727,124.933334350586,366.606658935547,355.839996337891,405.273315429688
"74",0,2,1,0,1,1,4,1,5,1,37,0,41,NA,6,1,1,0.756666719913483,57.7799987792969,130.539993286133,74.5942840576172,43.2099990844727,7,8.77142906188965,100.98999786377,137.539993286133,83.3657150268555
"75",0,1,1,1,1,1,5,1,5,1,55,1,29,2,6,2,1,0.971000015735626,267.071990966797,280.768005371094,106.143997192383,21.7119998931885,70.5226669311523,33.2879981994629,288.783996582031,351.290679931641,139.431991577148
"76",0,1,1,0,1,0,5,1,5,1,38,1,36,2,NA,1,1,1.10633325576782,96.7279968261719,406.600006103516,129.255996704102,13.0559997558594,84.0746612548828,57.6559982299805,109.783996582031,490.674682617188,186.911987304688
"77",0,1,1,0,1,1,7,1,5,1,23,1,26,NA,15,2,1,0.655900061130524,138.182861328125,174.053329467773,53.1942863464355,4.79428577423096,53.093334197998,34,142.977142333984,227.146667480469,87.1942901611328
"78",0,1,1,1,1,1,8,1,5,1,43,0,37,2,6,1,0,2.05499982833862,105.165718078613,49.2200012207031,78.8742828369141,5.91428565979004,1.66000008583069,12.3657150268555,111.080001831055,50.8800010681152,91.2399978637695
"79",0,1,1,0,1,1,9,1,5,1,44,1,42,2,6,1,0,2.35679984092712,87.9777755737305,155.50666809082,30.3880004882812,30.0311107635498,21.1733322143555,25.9333343505859,118.008888244629,176.679992675781,56.3213348388672
"80",0,1,1,0,NA,1,9,1,5,1,60,1,47,2,2,1,0,2.64548563957214,60.8711128234863,75.3280029296875,30.3880004882812,9.92000007629395,19.6186676025391,23.3333339691162,70.7911148071289,94.9466705322266,53.7213363647461
"81",1,1,1,0,1,1,4,1,5,1,26,1,26,2,15,1,0,-0.135999977588654,119.839996337891,113.419998168945,247.169998168945,13.0699996948242,69.8766632080078,13.75,132.910003662109,183.296661376953,260.919982910156
"82",1,4,1,0,1,1,8,1,5,1,45,1,40,3,9,0,0,-0.376166671514511,291.040008544922,160.5,179.225006103516,33.6571426391602,178.190002441406,82.0216674804688,324.697143554688,338.690002441406,261.246673583984
"83",0,2,1,1,1,1,7,1,5,1,46,0,46,2,9,1,0,2.62649989128113,94.7714309692383,161.213333129883,39.9466667175293,67.5485687255859,101.257781982422,2.37777781486511,162.320007324219,262.471130371094,42.3244438171387
"84",0,1,1,0,1,1,4,0,5,1,25,1,25,3,9,2,1,0.308000028133392,138.029998779297,192.600006103516,74.9000015258789,28.0166664123535,51.9599990844727,5.34999990463257,166.046661376953,244.559997558594,80.25
"85",1,1,1,0,1,1,9,1,5,1,46,0,41,2,3,1,0,1.88100004196167,140.764450073242,120.315551757812,50.4088897705078,52.0074081420898,108.148147583008,7.13777780532837,192.771850585938,228.46369934082,57.5466690063477
"86",0,2,1,0,1,1,6,1,5,1,47,0,44,2,NA,0,0,1.81500005722046,80.6066665649414,142.66667175293,84.1733322143555,2.04666662216187,30.1577777862549,18.546667098999,82.6533355712891,172.824447631836,102.720001220703
"87",0,1,1,0,1,1,4,1,5,1,35,1,21,3,6,2,1,1.11099994182587,155.149993896484,315.649993896484,108.069999694824,55.1900024414062,162.973327636719,34.1466674804688,210.339996337891,478.623321533203,142.216674804688
"88",1,2,1,0,1,1,6,1,5,1,47,1,44,2,6,0,0,-0.318800002336502,150.513336181641,27.1066665649414,63.4866676330566,20.046667098999,44.2044448852539,19.9733333587646,170.559997558594,71.3111114501953,83.4599990844727
"89",1,1,1,1,1,0,4,1,9,1,36,1,35,2,6,0,0,0.385999977588654,214,170.130004882812,182.970001220703,57.6133346557617,17.8500003814697,66.3199996948242,271.613342285156,187.980010986328,249.290008544922
"90",1,1,1,1,1,1,4,1,9,1,57,1,64,NA,3,0,0,0.82233327627182,269.640014648438,113.419998168945,151.940002441406,84.25,120.459999084473,42.1100006103516,353.890014648438,233.880004882812,194.050003051758
"91",0,2,1,0,1,1,7,1,9,2,42,1,20,4,6,0,0,0.757499992847443,190.154281616211,196.880004882812,367.468566894531,11.748571395874,109.335235595703,117.923812866211,201.902847290039,306.215240478516,485.392395019531
"92",1,2,1,1,1,0,5,1,9,1,39,1,38,3,16,1,1,-0.689333319664001,492.200012207031,278.200012207031,364.513336181641,92.1100006103516,226.360000610352,176.83332824707,584.309997558594,504.559997558594,541.3466796875
"93",NA,NA,NA,NA,NA,NA,4,1,9,1,27,1,32,3,9,2,1,0.030577776953578,154.080001831055,191.529998779297,452.609985351562,47.0699996948242,83.3899993896484,176.889999389648,201.149993896484,274.919982910156,629.5
"94",1,1,1,0,1,0,4,1,9,1,35,1,30,2,6,0,0,0.415999948978424,454.75,353.100006103516,347.75,326.286682128906,86.5699996948242,167.139999389648,781.036682128906,439.670013427734,514.890014648438
"95",1,1,1,0,1,0,4,1,9,1,25,1,22,2,6,2,1,1.35199999809265,294.25,302.809997558594,520.733337402344,178.956665039062,65.3300018310547,86.631103515625,473.206665039062,368.140014648438,607.364440917969
"96",1,2,1,1,1,0,5,1,9,1,50,1,66,2,2,1,1,0.430666625499725,113.847999572754,131.824005126953,265.359985351562,40.6959991455078,107.037330627441,50.7680015563965,154.544006347656,238.861328125,316.127990722656
"97",1,1,1,1,1,0,6,1,9,1,37,1,34,2,3,1,1,1.33599996566772,181.186660766602,181.899993896484,196.880004882812,34.5844421386719,39.3622207641602,7.85333347320557,215.771102905273,221.26220703125,204.733337402344
"98",1,1,1,1,1,0,6,1,9,2,40,1,NA,2,NA,2,0,2.25799989700317,173.339996337891,184.039993286133,289.613342285156,123.86222076416,132.479995727539,171.184448242188,297.202209472656,316.519989013672,460.797790527344
"99",1,4,1,1,1,1,10,1,9,2,45,1,22,3,2,1,1,0.287928581237793,207.580001831055,418.013336181641,337.406677246094,166.814666748047,210.477767944336,42.2222213745117,374.394653320312,628.491088867188,379.62890625
"100",0,1,1,1,1,1,4,1,9,1,73,1,71,NA,NA,0,0,2.31900000572205,340.260009765625,250.380004882812,337.049987792969,259.373321533203,10.8500003814697,24.8199996948242,599.63330078125,261.230010986328,361.869995117188
"101",1,3,1,1,1,1,7,1,9,1,33,1,30,2,8,1,1,0.69133335351944,139.405715942383,206.662857055664,257.411437988281,133.386672973633,78.4495239257812,213.552383422852,272.792388916016,285.112365722656,470.963806152344
"102",1,3,1,1,1,1,6,1,9,1,35,1,30,NA,NA,1,1,1.10449993610382,310.299987792969,146.233337402344,309.586669921875,131.248886108398,16.8799991607666,283.233337402344,441.548889160156,163.113342285156,592.820007324219
"103",NA,1,1,0,1,0,6,1,9,1,41,1,40,NA,8,1,1,1.40260004997253,346.679992675781,244.67333984375,343.113342285156,238.984436035156,85.2177734375,162.251113891602,585.664428710938,329.89111328125,505.364440917969
"104",1,1,1,0,1,0,4,1,9,2,29,1,NA,2,4,1,0,1.64499998092651,130.539993286133,173.339996337891,104.860000610352,45.7099990844727,102.419998168945,97.4599990844727,176.25,275.760009765625,202.320007324219
"105",1,1,1,1,1,0,4,1,9,1,34,1,30,NA,9,0,0,-0.0989999771118164,457.959991455078,505.89599609375,207.151992797852,484.466674804688,721.106689453125,200.013336181641,942.426635742188,1227.00268554688,407.165344238281
"106",0,1,1,0,1,1,10,1,9,1,45,1,47,NA,6,2,0,2.09599995613098,193.884002685547,157.88444519043,69.4311141967773,85.9239959716797,39.6977767944336,11.2666673660278,279.807983398438,197.582214355469,80.6977844238281
"107",0,1,1,0,1,0,4,1,9,1,29,1,28,NA,6,1,1,1.07599997520447,129.470001220703,202.229995727539,169.059997558594,19.5699996948242,105.319999694824,16.9500007629395,149.040008544922,307.549987792969,186.009994506836
"108",1,2,1,0,1,0,4,1,9,2,36,1,NA,3,NA,1,0,1.39133334159851,228.979995727539,401.25,209.720001220703,141.339996337891,112.709999084473,21.9500007629395,370.320007324219,513.960021972656,231.669998168945
"109",0,1,1,0,1,0,6,1,9,1,35,1,43,2,NA,0,0,1.83200001716614,159.073333740234,144.806671142578,91.3066635131836,25.5933322906494,40.3800010681152,16.6666660308838,184.66667175293,185.186676025391,107.973327636719
"110",1,1,1,1,1,0,4,1,9,1,41,1,27,2,9,2,0,1.43199992179871,254.660003662109,180.830001831055,220.419998168945,129.806671142578,91.9599990844727,32.6500015258789,384.466674804688,272.790008544922,253.070007324219
"111",0,1,1,1,1,0,6,1,9,1,38,1,29,NA,2,2,1,3.05200004577637,148.373336791992,76.4285736083984,48.9142875671387,33.7133331298828,36.2704734802246,13.2628574371338,182.086669921875,112.69905090332,62.1771469116211
"112",0,1,1,0,1,0,5,1,9,1,38,1,34,2,3,0,0,1.42700004577637,242.248001098633,224.272003173828,202.871994018555,116.565338134766,28.992000579834,15,358.813354492188,253.264007568359,217.871994018555
"113",0,1,1,0,1,1,8,1,9,1,39,1,33,NA,NA,1,1,2.23899984359741,121.980003356934,178.537139892578,177.31428527832,28.75,29.9942855834961,21.2228584289551,150.730010986328,208.531433105469,198.537139892578
"114",0,2,1,0,1,1,6,1,9,1,45,0,43,NA,NA,0,0,0.803999960422516,201.160003662109,303.880004882812,308.160003662109,112.102226257324,92.4599990844727,41.0666656494141,313.262237548828,396.339996337891,349.226684570312
"115",0,1,1,1,1,1,9,1,9,1,42,1,35,NA,NA,0,0,3.20179986953735,103.671112060547,111.815002441406,131.074996948242,40.3214836120605,6.07000017166138,11,143.992599487305,117.88500213623,142.074996948242
"116",1,1,1,1,1,1,6,1,9,1,32,1,34,2,5,1,0,0.561000049114227,323.140014648438,286.760009765625,136.960006713867,342.328918457031,135.586669921875,46.0666656494141,665.468933105469,422.3466796875,183.026672363281
"117",1,1,1,1,1,0,3,1,9,2,46,1,22,2,NA,0,0,1.12099993228912,263.220001220703,186.893325805664,271.066680908203,73.9000015258789,110.306671142578,33.7999992370605,337.119995117188,297.200012207031,304.866668701172
"118",0,2,0,0,0,1,4,1,9,1,27,1,30,NA,9,2,2,1.2739999294281,292.109985351562,188.320007324219,182.970001220703,82.0500030517578,93.8633346557617,54,374.159973144531,282.183349609375,236.970001220703
"119",0,1,1,0,1,0,4,1,9,1,39,1,26,NA,3,1,0,2.08800005912781,189.389999389648,172.270004272461,142.309997558594,72.3000030517578,7.82000017166138,62.5,261.690002441406,180.09001159668,204.809997558594
"120",1,2,1,1,1,0,5,1,9,1,36,1,32,2,3,0,0,0.701499998569489,265.359985351562,237.968002319336,237.968002319336,82.5599975585938,77.984001159668,4.28000020980835,347.919982910156,315.951995849609,242.248001098633
"121",0,1,1,1,1,0,6,1,9,1,48,1,40,2,NA,0,0,1.23599994182587,192.600006103516,184.753326416016,208.863998413086,78.0044403076172,88.2933349609375,74.6666717529297,270.604431152344,273.046661376953,283.530670166016
"122",0,2,1,1,1,1,7,1,9,1,64,0,56,NA,NA,0,0,2.31349992752075,83.7657165527344,153.468566894531,166.919998168945,84.4857177734375,7.99428558349609,1.22285711765289,168.251434326172,161.462860107422,168.142852783203
"123",0,1,1,1,1,1,6,1,9,1,42,1,33,NA,6,0,0,2.87100005149841,221.846664428711,261.793334960938,301.026672363281,50.9466667175293,23.7688884735107,23.6111106872559,272.793334960938,285.562225341797,324.637786865234
"124",0,1,1,1,1,0,4,1,9,1,26,1,22,3,15,2,1,1.06599998474121,283.549987792969,231.119995117188,250.380004882812,200.013336181641,76.6399993896484,2.14000010490417,483.563323974609,307.760009765625,252.520004272461
