"wouldvote","peacefactor","peace_formerenemies","peace_jjindiv","peace_jjtribes","gos_soldier_execute","directlyharmed","age","farmer_dar","herder_dar","pastvoted","hhsize_darfur","village","female"
0,0.202008432366002,0,0,0,0,0,27,1,0,1,5,"Beir Saliba",1
0,0.293169279278242,1,0,0,1,0,37,0,0,0,6,"Beir Saliba",0
0,0.202008432366002,0,0,0,0,0,18,0,0,1,10,"Beir Saliba",0
1,0,0,0,0,1,0,52,1,0,0,15,"Beir Saliba",0
1,0.495177711644244,1,0,0,0,1,43,1,1,1,8,"Beir Saliba",0
0,0.202008432366002,0,0,0,0,0,46,1,0,0,11,"Beir Saliba",0
0,0.797991567633998,1,1,1,1,0,43,1,0,1,7,"Beir Saliba",0
0,0.592909987627917,1,0,1,1,0,20,1,0,1,7,"Beir Saliba",1
0,0.592909987627917,1,0,1,1,0,67,1,0,1,8,"Beir Saliba",1
1,0.495177711644244,1,0,0,0,0,33,1,0,0,5,"Berdia",0
1,0.293169279278242,1,0,0,1,1,19,0,0,1,5,"Bireiga",0
1,0.202008432366002,0,0,0,0,1,20,1,0,1,5,"Bertabid",1
1,1,1,1,1,0,0,26,1,0,1,8,"Bida Alginina",0
0,0,0,0,0,1,0,35,1,0,0,8,"Bidigy",1
1,0.592909987627917,1,0,1,1,1,53,1,1,1,13,"Bidt Faraga",0
0,0.797991567633998,1,1,1,1,0,59,1,0,1,33,"Bier Saliba",0
1,0,0,0,0,1,0,37,1,0,1,15,"Biera",0
0,0,0,0,0,1,1,25,1,0,1,10,"Bigaga",1
0,0.202008432366002,0,0,0,0,0,53,1,0,0,10,"Binary Mbila",0
1,0.794918419993918,1,0,1,0,1,51,1,0,1,40,"Bindis",0
1,0.293169279278242,1,0,0,1,0,40,0,0,0,13,"Bindis",0
1,0.293169279278242,1,0,0,1,0,59,1,1,1,6,"Bindis",0
1,0,0,0,0,1,1,35,1,0,1,16,"Bindis",0
0,0,0,0,0,1,1,37,1,0,1,12,"Bindis",1
0,0.293169279278242,1,0,0,1,0,40,0,0,0,5,"Bindis",0
0,0,0,0,0,1,0,26,1,0,1,8,"Bindis",1
0,0.202008432366002,0,0,0,0,1,20,1,1,1,8,"Bindis",1
0,0.293169279278242,1,0,0,1,0,80,1,0,0,5,"Bindis",0
1,0.202008432366002,0,0,0,0,1,64,1,1,0,14,"Bindis",0
1,0.794918419993918,1,0,1,0,0,35,1,0,1,4,"Bindis",1
1,0.794918419993918,1,0,1,0,1,43,1,0,0,16,"Bindis",0
1,0,0,0,0,1,1,26,1,0,0,7,"Bindis",1
1,0.794918419993918,1,0,1,0,1,29,1,0,0,2,"Bindis",0
1,0.501749140715677,0,0,1,0,1,41,1,0,1,8,"Bindis",1
0,0.495177711644244,1,0,0,0,1,69,1,0,1,9,"Binediyah",0
1,0.797991567633998,1,1,1,1,1,32,1,0,1,4,"Biot Mofarag",0
1,0.794918419993918,1,0,1,0,0,19,0,0,0,7,"Bir Tabat",0
1,0.495177711644244,1,0,0,0,1,49,1,0,1,17,"Bir Tabat",0
1,0.504822288355756,0,1,1,1,0,48,1,0,1,13,"Birdeya",0
0,0,0,0,0,1,0,20,1,0,1,8,"Birdeya",1
1,0.501749140715677,0,0,1,0,1,50,1,1,1,8,"Birgy",1
0,0.293169279278242,1,0,0,1,1,35,1,0,1,8,"Birhaliba",1
1,0.495177711644244,1,0,0,0,0,37,1,0,1,9,"Birtabit",0
1,0.202008432366002,0,0,0,0,0,20,1,0,1,2,"Bla Al Biyya",1
0,0.592909987627917,1,0,1,1,0,26,1,0,1,7,"Boba",1
0,0,0,0,0,1,1,35,1,0,1,3,"Boba",1
0,0.592909987627917,1,0,1,1,0,65,1,1,1,7,"Boba",1
0,0,0,0,0,1,0,54,1,0,1,10,"Boranga",0
1,0,0,0,0,1,1,19,1,0,1,5,"Borat",1
1,0.794918419993918,1,0,1,0,1,33,1,1,0,4,"Borgio",0
1,0.495177711644244,1,0,0,0,1,90,1,0,0,6,"Boymawang",0
0,0,0,0,0,1,0,23,1,0,1,4,"Brega",0
0,0,0,0,0,1,1,40,1,0,1,6,"Brega",1
0,0.797991567633998,1,1,1,1,0,25,0,0,1,6,"Brega",0
1,0.797991567633998,1,1,1,1,1,48,1,0,1,16,"Bukar",0
1,0.202008432366002,0,0,0,0,0,28,1,0,1,3,"Coda Mee",0
0,0,0,0,0,1,0,30,1,0,1,4,"Congi",1
0,0,0,0,0,1,1,30,1,0,1,6,"Dabaky",1
0,0,0,0,0,1,1,38,1,0,1,9,"Dabis",1
0,0,0,0,0,1,0,40,1,0,0,6,"Dagjor",1
1,0,0,0,0,1,0,36,1,0,1,4,"Dagjor",0
0,0.293169279278242,1,0,0,1,0,55,1,0,0,7,"Dalta",0
1,0.202008432366002,0,0,0,0,1,20,0,0,1,9,"Damra",1
1,0.202008432366002,0,0,0,0,1,29,0,0,1,18,"Damra",0
1,0.797991567633998,1,1,1,1,1,40,1,0,0,14,"Damra",0
0,0.202008432366002,0,0,0,0,1,36,1,1,1,10,"Damra",1
0,0,0,0,0,1,1,38,1,0,1,3,"Damra",0
0,1,1,1,1,0,0,45,1,0,0,8,"Dangojaro",1
1,0,0,0,0,1,1,43,1,0,0,13,"Danko",0
0,0,0,0,0,1,1,35,1,0,0,8,"Dardure",1
1,0.794918419993918,1,0,1,0,1,56,1,1,1,9,"Dargily",0
0,0,0,0,0,1,0,28,1,0,1,4,"Dasa",1
0,0,0,0,0,1,0,37,1,0,0,6,"Deegada",0
0,0,0,0,0,1,0,23,1,0,1,6,"Deero",0
1,0,0,0,0,1,1,25,1,0,1,15,"Dengar",0
0,0,0,0,0,1,0,29,1,0,1,6,"Derenda",0
0,0,0,0,0,1,0,26,1,0,1,17,"Derisa",1
1,0.700259291650325,1,1,0,0,1,45,1,0,1,9,"Dinbo Kabdi",1
0,0,0,0,0,1,1,37,1,0,0,13,"Dingajour",1
0,0.299740708349675,0,0,1,1,0,25,1,0,1,13,"Dinjir",1
0,0,0,0,0,1,0,37,1,0,1,10,"Dirdkna",0
1,0.794918419993918,1,0,1,0,1,67,1,1,1,16,"Dirgily",0
1,1,1,1,1,0,1,36,1,0,1,13,"Diria",0
0,0,0,0,0,1,1,45,1,1,1,18,"Dirisa",1
1,0.202008432366002,0,0,0,0,1,23,1,0,0,2,"Dirisa",0
1,0.202008432366002,0,0,0,0,0,33,1,1,1,6,"Diro",0
0,0.293169279278242,1,0,0,1,1,40,1,0,0,6,"Diro",1
1,0.501749140715677,0,0,1,0,0,41,1,0,0,6,"Dofata",0
1,0.794918419993918,1,0,1,0,1,36,1,0,1,5,"Dongita",0
0,0,0,0,0,1,0,35,1,1,1,7,"Doty",1
1,0.592909987627917,1,0,1,1,0,25,1,0,0,7,"Doudata",0
1,0.797991567633998,1,1,1,1,0,37,1,0,1,7,"Driol",0
0,0,0,0,0,1,0,35,1,0,0,5,"Dunjurou",1
0,1,1,1,1,0,0,75,1,0,1,12,"Eid Elkhair",0
0,0,0,0,0,1,0,27,1,0,1,3,"Eish Bida",1
1,1,1,1,1,0,1,53,0,0,0,5,"El Fasher",0
1,0.794918419993918,1,0,1,0,0,35,1,0,0,7,"El Fasher",0
0,0.202008432366002,0,0,0,0,0,33,1,0,1,7,"Fanginta",1
1,0,0,0,0,1,0,45,0,0,1,8,"Farne",1
0,1,1,1,1,0,0,24,1,0,1,6,"Few",0
0,0,0,0,0,1,0,40,1,0,1,5,"Fokdo",1
0,0.293169279278242,1,0,0,1,0,59,1,0,0,9,"Fondlayat",0
1,1,1,1,1,0,1,21,1,0,1,5,"Fonu",0
0,0,0,0,0,1,0,25,1,0,1,8,"Fonu",1
0,0.202008432366002,0,0,0,0,0,70,1,0,0,8,"Fur Baranga",1
0,0,0,0,0,1,0,59,1,0,0,16,"Fur Barenga",0
1,1,1,1,1,0,1,25,0,0,0,9,"Fur Barenga",0
0,0,0,0,0,1,0,45,1,0,1,7,"FuraWiya",1
0,1,1,1,1,0,1,37,0,0,0,7,"Furawiya",0
0,0.592909987627917,1,0,1,1,0,45,1,1,1,6,"Furawiya",1
0,0.592909987627917,1,0,1,1,0,50,1,1,0,5,"Furawiya",1
1,0.299740708349675,0,0,1,1,0,50,1,0,1,9,"Furawiya",1
0,0.592909987627917,1,0,1,1,0,20,1,0,1,10,"Furawiya",1
1,0,0,0,0,1,1,41,0,0,1,12,"Furawiya",0
0,0.794918419993918,1,0,1,0,0,40,1,0,1,8,"Furawiya",1
1,0.299740708349675,0,0,1,1,0,28,0,0,1,22,"Furawiya",1
0,0,0,0,0,1,0,24,1,0,1,11,"Furawiya",1
1,0.794918419993918,1,0,1,0,1,43,1,0,0,5,"Furawiya",0
0,0,0,0,0,1,0,25,0,0,0,11,"Furawiya",1
0,0.293169279278242,1,0,0,1,0,29,1,0,1,5,"Furawiya",1
1,0.495177711644244,1,0,0,0,0,41,0,0,1,17,"Furawiya",0
1,0.797991567633998,1,1,1,1,1,51,1,1,1,8,"Furawiya",0
0,0.495177711644244,1,0,0,0,1,25,0,0,0,9,"Furawiya",0
0,0.794918419993918,1,0,1,0,1,25,1,0,1,5,"Furawiya",1
1,0.592909987627917,1,0,1,1,1,21,0,0,1,9,"Furawiya",0
0,0,0,0,0,1,0,28,1,0,1,6,"Furawiya",1
1,1,1,1,1,0,1,24,1,1,1,12,"Furawiya",0
1,1,1,1,1,0,1,28,1,0,1,11,"Furawiya",0
1,0.794918419993918,1,0,1,0,1,63,1,0,0,9,"Furawiya",0
1,0,0,0,0,1,0,54,1,0,0,7,"Furawiya",0
0,0,0,0,0,1,0,40,1,0,1,8,"Furawiya",1
0,1,1,1,1,0,1,37,1,1,0,7,"Furawiya",1
1,0.794918419993918,1,0,1,0,1,68,1,0,0,9,"Furawiya",0
0,0,0,0,0,1,0,33,1,0,1,9,"Furawiya",1
0,0.797991567633998,1,1,1,1,1,35,1,1,0,9,"Furawiya",1
0,0.495177711644244,1,0,0,0,0,25,1,1,1,2,"Furawiya",1
0,0.797991567633998,1,1,1,1,0,37,1,0,1,21,"Furawiya",0
0,0,0,0,0,1,0,67,1,0,0,7,"Furawiya",1
0,0.202008432366002,0,0,0,0,0,40,1,0,1,9,"Furawiya",0
0,0.592909987627917,1,0,1,1,0,25,1,0,1,40,"Furawiya",1
0,0.202008432366002,0,0,0,0,0,45,1,1,1,5,"Furawiya",1
1,0,0,0,0,1,1,90,1,1,0,22,"Furawiya",0
1,0.706830720721758,0,1,1,0,1,55,1,0,1,17,"Furawiya",0
0,0.202008432366002,0,0,0,0,0,27,1,0,0,22,"Furawiya",1
1,1,1,1,1,0,1,20,1,0,1,8,"Furawiya",0
1,0,0,0,0,1,1,26,1,0,1,3,"Furawiya",0
1,0.794918419993918,1,0,1,0,0,39,0,0,0,12,"Furawiya",0
0,0.504822288355756,0,1,1,1,1,18,0,0,1,18,"Furawiya",0
0,0,0,0,0,1,0,30,1,0,1,7,"Furo",1
1,0.202008432366002,0,0,0,0,1,48,1,0,0,8,"Gadir",0
0,0.293169279278242,1,0,0,1,1,30,1,0,1,11,"Gadir",0
1,0.202008432366002,0,0,0,0,1,52,1,0,0,17,"Galala",0
1,0.797991567633998,1,1,1,1,0,28,1,0,1,6,"Garady",1
0,0,0,0,0,1,0,37,1,0,1,21,"Garsila",0
1,0.794918419993918,1,0,1,0,1,33,1,0,1,3,"Garsila",0
1,0.794918419993918,1,0,1,0,1,76,1,1,0,16,"Garsila",0
0,0,0,0,0,1,1,22,1,0,0,10,"Gasheeb",0
0,0,0,0,0,1,0,50,1,1,1,7,"Gasimba",0
0,1,1,1,1,0,0,37,1,0,0,7,"Gasimba",1
0,0,0,0,0,1,1,25,1,0,0,10,"Gasmina",1
0,0,0,0,0,1,1,30,1,0,0,15,"Gebeesh",1
0,0.495177711644244,1,0,0,0,1,40,1,0,1,9,"Gebeesh",1
0,0,0,0,0,1,0,25,1,0,1,30,"Gebeesh",1
0,1,1,1,1,0,1,37,1,0,1,8,"Gedernii",0
0,0.293169279278242,1,0,0,1,1,40,1,0,0,8,"Gemana",0
0,0,0,0,0,1,0,24,1,0,0,14,"Gemena",1
0,0,0,0,0,1,0,36,1,0,0,5,"Gemena",1
