abdt tg inuidur1 inuidur2 female black hispanic othrace dep q1 q2 q3 q4  q5 q6 recall agelt35 agegt54 durable nondurable lusd husd muld  
10663 0 28 11 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0
10747 0 12 12 1 0 0 0 2 0 0 0 1 0 0 1 1 0 0 0 0 0 1
10551 4 22 22 1 0 1 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 1
10635 2 17 10 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
10761 2 13 13 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1
10586 1 8 8 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1
10859 1 27 27 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 0 1
10768 0 18 18 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1
10537 0 1 1 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1
10768 5 27 27 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1
10845 3 25 25 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0
10789 2 34 7 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 1 0 1 0
10705 6 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0
10775 2 11 11 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
10600 4 7 7 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
10572 1 9 9 1 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1
10649 6 17 17 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1
10866 3 41 41 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0
10866 0 18 18 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0
10558 2 1 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 1
10747 2 29 29 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0
10642 2 5 5 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
10642 6 5 5 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0
10614 2 4 4 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 1
10572 0 14 14 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0
10663 0 5 5 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0
10684 3 31 4 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
10656 2 4 4 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0
10866 2 27 27 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 1 0 0
10656 6 27 27 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
10614 2 3 3 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 1 0 0
10880 2 27 27 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 1 0 0
10565 5 33 33 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0
10789 0 9 9 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0
10768 0 3 3 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
10649 0 27 27 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0
10670 4 27 27 1 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 1
10600 6 27 27 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
10796 0 10 10 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0
10873 5 27 27 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 1 0
10558 0 25 25 0 0 1 0 2 0 1 0 0 0 0 1 1 0 0 0 1 0 0
10691 2 9 9 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0
10593 5 27 27 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
10649 2 14 3 1 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 1 0 0
10866 3 4 4 0 0 0 0 2 0 0 0 0 0 1 0 1 0 1 0 1 0 0
10621 6 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 1 0 0
10607 2 2 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
10831 4 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
10810 4 3 3 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0
10677 2 6 6 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
10551 4 13 13 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 1 0
10733 5 1 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0
10796 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0
10712 3 15 15 1 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0
10768 2 15 15 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1
10607 6 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0
10719 0 27 27 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0
10726 4 14 14 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 1 1 0 0
10607 5 28 28 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0
10593 1 11 11 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1
10593 5 8 8 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1
10845 0 18 18 0 0 0 0 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0
10558 2 20 20 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
10803 2 1 1 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
10852 2 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
10705 6 9 9 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0
10831 5 27 27 0 0 0 0 2 0 0 0 0 1 0 0 0 1 1 0 0 1 0
10663 6 1 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
10684 1 5 5 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0
10684 2 21 21 0 0 0 0 1 0 0 0 1 0 0 0 0 1 1 0 0 0 1
10761 3 2 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
10600 6 6 6 0 0 0 0 1 0 0 1 0 0 0 1 0 0 1 0 0 0 1
10544 2 12 2 1 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0
10698 3 2 2 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
10411 5 4 4 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0
10698 1 3 3 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0
10782 0 4 4 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0
10733 4 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1 0 0 1
10621 0 2 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0
10831 4 11 11 1 0 0 0 2 0 0 0 0 1 0 1 0 0 0 1 0 1 0
10607 1 8 8 0 1 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 0 1
10593 3 27 27 0 0 0 0 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0
10845 5 27 27 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0
10523 0 28 28 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0
10782 3 9 9 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
10726 0 27 27 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
10628 2 20 20 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
10719 6 8 8 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0
10530 5 10 10 0 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1
10600 2 27 27 1 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1
10782 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0
10649 6 3 3 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
10817 0 17 17 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
10523 6 7 7 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0
10726 0 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0
10838 2 1 1 0 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0
10565 2 28 28 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 1 0
10516 4 2 2 1 0 0 0 2 0 1 0 0 0 0 0 1 0 1 0 1 0 0
10586 6 20 20 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1
10740 2 6 6 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0 1
10607 6 2 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
10537 0 18 18 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1
10677 6 2 2 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0
10516 5 27 27 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
10586 3 2 2 0 0 0 0 1 0 1 0 0 0 0 1 0 0 0 1 0 0 1
10789 2 1 1 1 0 1 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1
10649 2 27 27 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 1 0 0 1
10796 0 28 28 1 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1 0 0 1
10684 0 25 25 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0 0 1 0 0
10649 3 1 1 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 0 1
10796 4 2 2 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 1 0
10544 0 13 13 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
10810 2 1 1 0 0 1 0 2 0 0 0 0 1 0 0 1 0 1 0 1 0 0
10810 0 1 1 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0
10621 2 27 27 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0
10565 2 16 16 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
10593 6 27 27 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0
10698 6 7 7 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1
10572 6 6 6 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1
10523 5 20 20 0 0 0 0 1 0 1 0 0 0 0 0 1 0 0 0 0 0 1
10635 3 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
10614 6 6 6 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1
10418 5 37 8 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0
10586 2 27 27 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1
10565 6 6 6 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
10558 3 26 26 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1
10621 6 1 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
10747 0 4 4 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
10747 4 3 3 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0
10803 5 1 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 1 0 0
10761 4 10 10 1 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 1
10824 4 27 27 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1
10726 6 28 28 1 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0
10782 5 12 12 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
10572 0 2 2 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1
10810 2 1 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
10880 2 27 27 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1
10628 6 11 11 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
10614 0 20 20 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 1 0 0
10551 0 27 27 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1
10523 1 6 2 1 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 1 0 0
10852 0 27 27 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0
10593 0 24 24 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 1 0
10663 5 1 1 0 0 1 0 2 0 0 1 0 0 0 0 1 0 1 0 1 0 0
10817 1 27 27 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0
10544 3 20 15 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 1 0
10691 4 9 9 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0
10600 0 8 8 1 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0
10544 0 27 27 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 1 0 0
10740 3 16 16 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0
10635 6 14 14 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 0 1 0 0
10719 4 19 19 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0
10810 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 1 0
10768 5 23 23 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0
10705 2 5 5 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1
10663 5 2 2 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
10726 1 4 4 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0
10516 3 22 22 1 0 0 0 2 0 1 0 0 0 0 0 0 0 0 1 0 0 1
10516 5 1 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1
10474 5 4 4 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 0
10831 0 3 3 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
10775 4 27 27 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1
10642 3 17 17 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 1 0 0 1
10712 6 6 6 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1
10782 0 27 27 1 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 1 0 0
10551 2 27 27 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 1 0
10614 4 17 10 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0
10628 3 6 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 0
10656 3 13 13 1 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1
10607 2 7 7 0 0 0 0 1 0 0 1 0 0 0 0 0 0 1 0 0 0 1
10607 0 20 20 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0
10831 0 4 4 0 0 0 0 2 0 0 0 0 1 0 0 0 0 1 0 0 0 1
10628 3 7 7 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 0 0 1 0
10817 4 7 7 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 0
10607 2 3 3 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 1
10873 0 10 10 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 1
10719 1 9 9 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 1 0 0
10558 6 25 25 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 1 0 0
10698 1 27 27 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1
10593 4 27 27 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1
10873 5 2 2 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
10831 0 4 4 0 0 0 0 2 0 0 0 0 1 0 0 1 0 0 1 1 0 0
10768 0 33 15 1 0 1 0 1 0 0 0 0 1 0 0 1 0 1 0 1 0 0
10866 0 25 25 0 0 0 0 2 0 0 0 0 0 1 0 1 0 0 0 0 1 0
10761 5 27 27 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
10649 5 2 2 1 0 1 0 1 0 0 1 0 0 0 0 1 0 0 1 0 0 1
10873 0 27 27 1 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 1 0 0
10523 6 15 15 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1
10691 5 6 6 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 0 0 1
10600 0 2 2 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
10621 0 27 27 0 1 0 0 2 0 0 1 0 0 0 0 1 0 0 0 0 0 1
10859 5 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1
10516 6 1 1 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 1 0 0
10523 3 1 1 1 1 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0
10824 3 9 9 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1
10859 0 1 1 0 0 1 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0
10593 3 10 6 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
10565 0 28 9 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1
10572 3 4 4 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0
10530 2 27 27 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 1 0 0
10670 3 7 7 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 1
10621 2 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
10523 0 1 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0
10712 6 1 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 0 1 0 0
10663 2 30 11 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0
10523 0 11 11 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
10607 4 23 23 1 0 0 0 2 0 0 1 0 0 0 1 0 0 0 0 0 1 0
10544 5 20 20 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 1 0 0
10698 3 20 12 0 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 1 0 0
10761 4 27 27 1 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 1 0
10845 4 29 29 1 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 0 1 0
10824 4 15 15 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 1 0 0
10817 0 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 1 0
10719 2 27 27 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1
10614 6 6 6 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 1 0 0 1
10642 0 28 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 0 0 1
10649 2 1 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 0 0 1
10544 0 5 5 0 0 0 0 2 0 1 0 0 0 0 0 1 0 0 0 0 0 1
10866 2 3 3 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
10712 0 6 6 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1
10789 2 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1
10831 2 5 5 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
10579 5 14 14 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 1
10537 4 27 27 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1
10579 4 27 27 1 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
10803 3 1 1 0 0 1 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1
10880 0 27 27 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 1
10873 5 27 27 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1
10845 5 1 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 0 0
10817 1 12 12 0 0 0 0 2 0 0 0 0 1 0 0 0 0 0 0 0 1 0
10544 4 7 7 0 0 0 0 2 0 1 0 0 0 0 0 0 0 1 0 0 0 1
10579 0 6 6 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 1 0 0
10663 6 3 3 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
10614 6 4 4 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
10831 0 11 11 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1 0
10544 0 9 9 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0
10754 5 6 6 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1
10607 1 7 7 0 0 0 0 2 0 0 1 0 0 0 0 1 0 0 0 1 0 0
10810 4 12 12 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 1 0 0
10838 4 3 3 1 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1
10691 3 26 26 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1
10761 1 1 1 0 1 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0
10726 5 1 1 0 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 1 0 0
10593 0 9 9 1 1 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 1
10544 5 37 7 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 0 0 0 1
10649 1 29 29 0 0 0 0 2 0 0 1 0 0 0 0 0 0 0 1 0 0 1
10740 6 27 27 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 1 0 0
10691 3 5 5 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 1 0
10523 0 23 23 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 1
10859 0 7 7 1 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 1
10852 0 15 15 1 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0
10726 2 27 27 1 0 0 0 2 0 0 0 1 0 0 0 0 0 0 0 0 0 1
10579 3 10 10 1 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 1 0 0
10684 2 13 13 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 1
10726 6 20 20 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0
10698 2 27 27 1 0 0 0 2 0 0 0 1 0 0 0 1 0 0 0 1 0 0
10593 3 6 6 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
10621 4 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 1 0 0 1
10754 6 4 4 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 0 1
10712 6 15 15 1 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1
10810 2 27 27 1 0 0 0 2 0 0 0 0 1 0 0 1 0 0 0 1 0 0
10516 2 3 3 1 0 1 0 0 0 1 0 0 0 0 0 0 1 0 1 0 0 1
10621 0 1 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 0
10607 0 28 23 1 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0
10845 5 1 1 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0
10670 2 5 5 1 0 1 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 1
10628 2 27 27 0 0 0 0 1 0 0 1 0 0 0 0 0 1 0 0 0 1 0
10789 5 3 3 1 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 1 0
10782 2 3 3 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1
10698 4 9 9 0 0 0 0 1 0 0 0 1 0 0 0 1 0 1 0 0 0 1
